Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
5000000000.0,136.0,3,3,Tây-Bắc,Đông-Nam,"Cao cấp sang trọng, điều hòa Daikin loại cao cấp, nóng lạnh đầy đủ.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt,Thanh Xuân,36764705.88235294
18500000000.0,380.0,5,4,Tây-Bắc,Đông-Nam,0,Tập đoàn Vingroup,0,21.0190830230713,105.78173065185499,Tin Vip đặc biệt,Nam Từ Liêm,48684210.526315786
1500000000.0,58.9,2,1,Tây-Bắc,Đông-Nam,0,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt,Nam Từ Liêm,25466893.039049238
6000000000.0,188.0,3,3,Tây-Bắc,Đông-Nam,"Cao cấp sang trọng, điều hòa Daikin loại cao cấp, nóng lạnh đầy đủ.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt,Thanh Xuân,31914893.617021278
1500000000.0,55.0,2,1,Tây-Bắc,Đông-Nam,"Được bàn giao gói nội thất cơ bản như trần, sàn căn hộ nhà vệ sinh Đi kèm cùng bộ điều hoà Và nhiều chi tiết khác...",Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt,Nam Từ Liêm,27272727.272727273
2900000000.0,104.0,3,2,Tây-Bắc,Đông-Nam,Đã có nội thất.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt,Bắc Từ Liêm,27884615.384615384
3200000000.0,90.0,3,2,Tây-Bắc,Đông-Nam,"Full nội thất liền tường cao cấp: Sàn gỗ trần thạch cao, thiết bị vệ sinh đầy đủ - Điều hòa nóng lạnh âm trần - Bếp, tủ bếp trên, tủ bếp dưới bếp từ hút mùi - Thiết bị thông minh 4.0",Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt,Bắc Từ Liêm,35555555.55555555
2800000000.0,72.0,2,2,Đông-Nam,Đông-Nam,Full.,Tập đoàn Vingroup,3 tòa tháp cao tầng và trung tâm thương mại,21.0363712310791,105.780860900879,Tin Vip đặc biệt,Nam Từ Liêm,38888888.88888889
6500000000.0,140.0,3,3,Đông-Nam,Tây-Bắc,Full Nội thất gắn tường thiết kế tiêu chuẩn châu Âu.,Công ty CP Tập đoàn Sunshine,5 tòa tháp biệt thự trên cao sky villas và 60 lô biệt thự,21.083890914917,105.80847930908199,Tin Vip đặc biệt,Tây Hồ,46428571.428571425
883000000.0,34.8,1,1,Đông-Nam,Tây-Bắc,0,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt,Nam Từ Liêm,25373563.218390808
