,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư,Vĩ độ,Kinh độ,Nội thất,Actual,Predicted
53,93.0,2.0,2.0,178.0,21.0194931030273,105.82234191894501,0.0,5000000000.0,4764982117.5
54,60.0,2.0,2.0,1.0,21.0292072296143,105.764450073242,1.0,1850000000.0,2022099801.5
55,122.0,3.0,2.0,22.0,21.0202007293701,105.808876037598,0.0,3400000000.0,4916344137.5
56,54.1,2.0,1.0,1.0,21.0024147033691,105.964111328125,1.0,1530000000.0,1495052673.5
57,139.0,3.0,2.0,1.0,21.0182209014893,105.824096679688,1.0,6000000000.0,5841090509.5
58,116.0,3.0,2.0,1.0,21.0159072875977,105.78018188476601,0.0,3700000000.0,3574441037.5
59,72.0,2.0,2.0,734.0,21.0197982788086,105.780708312988,0.0,2840000000.0,3255548617.5
60,106.6,3.0,2.0,1.0,20.932672500610398,105.85007476806601,1.0,1880000000.0,1983861505.5
61,51.0,2.0,1.0,1.0,21.002666473388697,105.8154296875,1.0,1000000000.0,1295923893.5
62,128.0,3.0,2.0,34.0,21.0277194976807,105.78589630127001,0.0,5800000000.0,4532307093.5
63,102.0,2.0,2.0,10.0,21.0124912261963,105.811317443848,1.0,3700000000.0,4011847661.5
64,99.9,3.0,2.0,144.0,21.0919170379639,105.78500366210899,1.0,3600000000.0,3735510737.5
65,176.0,3.0,2.0,3.0,21.005578994751,105.803749084473,0.0,5499000000.0,6874691797.5
66,103.0,3.0,2.0,26.0,20.9984378814697,105.866737365723,1.0,4100000000.0,3667001897.5
67,106.0,2.0,2.0,734.0,20.9947910308838,105.86784362792999,1.0,4220000000.0,3366526941.5
68,105.0,3.0,2.0,1.0,21.05616876094108,105.90206013219571,0.0,2400000000.0,3584188061.5
69,56.5,2.0,2.0,44.0,20.9732913970947,105.82000732421899,0.0,1060000000.0,1670432369.5
70,144.0,3.0,2.0,13.0,21.024976730346697,105.791229248047,1.0,4200000000.0,5064377201.5
71,108.0,3.0,2.0,144.0,20.996685028076197,105.873847961426,1.0,3150000000.0,3861743181.5
72,55.0,2.0,1.0,734.0,21.0065288543701,105.753555297852,1.0,1780000000.0,1357302125.5
73,63.0,2.0,2.0,734.0,21.0065288543701,105.753555297852,0.0,2250000000.0,1098380545.5
74,116.0,3.0,2.0,52.0,20.9842433929443,105.808448791504,0.0,3350000000.0,3702619209.5
75,74.0,2.0,2.0,12.0,20.9894237518311,105.866561889648,1.0,1720000000.0,2275522325.5
76,78.0,2.0,2.0,1.0,20.978338241577106,105.83633422851601,1.0,1700000000.0,2308468897.5
77,60.0,2.0,2.0,178.0,21.0058059692383,105.79437255859399,0.0,2400000000.0,2385621949.5
78,77.0,2.0,2.0,178.0,21.069709777832,105.811210632324,0.0,4200000000.0,4336623937.5
79,69.0,2.0,2.0,734.0,20.998958587646502,105.788032531738,1.0,2750000000.0,2573120005.5
80,70.0,2.0,2.0,1.0,20.956588745117198,105.844886779785,1.0,1400000000.0,1756322549.5
81,88.0,2.0,2.0,15.0,21.008733749389602,105.790229797363,0.0,2500000000.0,2876913701.5
82,90.0,3.0,2.0,20.0,21.0443725585938,105.80323028564501,1.0,3600000000.0,3312819625.5
83,114.0,3.0,2.0,16.0,20.9745693206787,105.76432800292999,1.0,1820000000.0,1863512589.5
84,80.0,2.0,2.0,734.0,20.994333267211896,105.86756134033199,1.0,3450000000.0,2923519289.5
85,120.0,2.0,2.0,734.0,21.0317993164063,105.814193725586,0.0,10250000000.0,8522077341.5
86,86.0,2.0,2.0,93.0,20.983570098877,105.772262573242,1.0,1350000000.0,2021075429.5
87,116.7,3.0,2.0,144.0,21.0919170379639,105.78500366210899,1.0,4000000000.0,3929579617.5
88,135.0,4.0,2.0,54.0,20.9972763061523,105.80298614502001,1.0,4500000000.0,4416414617.5
89,110.0,3.0,2.0,8.0,21.0350513458252,105.794975280762,0.0,4100000000.0,3896662317.5
90,100.0,3.0,2.0,59.0,21.074520111084002,105.700225830078,0.0,1300000000.0,-879357398.5
91,60.0,2.0,2.0,1.0,21.0450408,105.79217959999998,0.0,1500000000.0,1886100657.5
92,69.0,2.0,2.0,40.0,21.004817962646502,105.804672241211,0.0,2500000000.0,2375088509.5
93,74.0,2.0,2.0,1.0,20.961444487366663,105.83538153482135,0.0,1770000000.0,1823130417.5
94,43.0,1.0,1.0,734.0,20.998958587646502,105.788032531738,1.0,1850000000.0,2007091877.5
95,98.0,3.0,3.0,78.0,21.081007003784197,105.81809234619101,1.0,3900000000.0,4114539125.5
96,71.0,2.0,2.0,62.0,21.0160980224609,105.79248809814501,1.0,2400000000.0,2548251713.5
97,105.0,3.0,2.0,4.0,20.9959945678711,105.86126708984399,1.0,5600000000.0,3799712589.5
98,90.88,3.0,2.0,45.0,20.985540390014602,105.79894256591801,0.0,2500000000.0,2749123793.5
99,103.0,3.0,2.0,1.0,21.0409755706787,105.91366577148399,1.0,2544000000.0,3161047249.5
100,63.4,2.0,2.0,40.0,21.004817962646502,105.804672241211,0.0,2536000000.0,2165143789.5
101,80.74,2.0,2.0,78.0,21.081007003784197,105.81809234619101,1.0,2750000000.0,3120304973.5
102,60.1,2.0,1.0,1.0,21.0024147033691,105.964111328125,1.0,1500000000.0,1569881645.5
103,68.0,2.0,2.0,32.0,21.0209789276123,105.791061401367,0.0,2400000000.0,2383567329.5
104,79.0,2.0,2.0,16.0,20.985431671142603,105.839340209961,1.0,2300000000.0,2469735937.5
105,106.7,3.0,2.0,53.0,21.029411315918,105.768753051758,0.0,4256000000.0,3280096573.5
106,50.0,2.0,1.0,45.0,20.952579498290998,105.75757598877001,1.0,950000000.0,1014343841.5
107,59.0,2.0,1.0,1.0,21.0024147033691,105.964111328125,1.0,1530000000.0,1555564753.5
108,64.0,2.0,1.0,1.0,20.9947719573975,105.80612945556601,1.0,1850000000.0,1795801725.5
109,71.0,2.0,2.0,734.0,21.0197982788086,105.780708312988,0.0,2900000000.0,3226767937.5
110,122.0,3.0,2.0,734.0,20.994333267211896,105.86756134033199,1.0,5500000000.0,4690491905.5
111,52.0,2.0,2.0,1.0,20.956588745117198,105.844886779785,0.0,1496000000.0,1759103657.5
112,113.2,3.0,2.0,4.0,21.065017700195305,105.798934936523,1.0,4200000000.0,3560093825.5
113,51.0,2.0,1.0,5.0,21.0456924438477,105.880599975586,1.0,2100000000.0,963473793.5
114,54.0,2.0,1.0,734.0,21.0065288543701,105.753555297852,1.0,1600000000.0,1378876837.5
115,146.0,4.0,3.0,734.0,21.0317993164063,105.814193725586,0.0,12500000000.0,10049958189.5
116,85.8,3.0,2.0,34.0,21.0277194976807,105.78589630127001,0.0,4150000000.0,2984941929.5
117,42.8,1.0,1.0,734.0,20.998958587646502,105.788032531738,1.0,1800000000.0,2000511129.5
118,103.2,3.0,2.0,144.0,21.0919170379639,105.78500366210899,1.0,4200000000.0,3758043089.5
119,28.0,2.0,2.0,734.0,20.998958587646502,105.788032531738,1.0,985000000.0,2346408385.5
120,154.5,3.0,2.0,67.0,21.0786514282227,105.802612304688,1.0,6300000000.0,5620847189.5
121,109.0,3.0,2.0,144.0,21.0407333374023,105.89656066894501,1.0,3800000000.0,4408116045.5
122,78.0,2.0,2.0,50.0,20.970058441162106,105.87777709960899,1.0,2050000000.0,1962409813.5
123,68.0,2.0,2.0,123.0,20.962467193603498,105.79236602783199,1.0,1150000000.0,1158913761.5
124,61.0,2.0,2.0,118.0,20.979537963867198,105.84161376953101,0.0,1900000000.0,1910939817.5
125,117.0,3.0,2.0,144.0,21.0919170379639,105.78500366210899,0.0,4380000000.0,4153761025.5
126,83.0,2.0,2.0,34.0,21.0371532440186,105.786338806152,0.0,3300000000.0,2963711741.5
127,93.0,2.0,2.0,734.0,21.002666473388697,105.8154296875,0.0,3900000000.0,4077588893.5
128,45.0,1.0,1.0,65.0,21.04117202758789,105.825096130371,0.0,2500000000.0,1928150993.5
129,83.4,2.0,2.0,111.0,21.0403366088867,105.76758575439501,1.0,2250000000.0,3296226357.5
130,103.0,3.0,2.0,144.0,21.084949879588105,105.79229927063,1.0,4700000000.0,4138655497.5
131,69.9,2.0,2.0,16.0,21.0096874237061,105.72159576416,1.0,1300000000.0,1756556089.5
132,83.4,3.0,2.0,734.0,21.046094894409197,105.915542602539,0.0,2100000000.0,3714130037.5
133,80.0,3.0,2.0,1.0,21.0024147033691,105.964111328125,0.0,2300000000.0,1471590493.5
134,123.0,3.0,2.0,59.0,20.9865188598633,105.78639984130899,1.0,2900000000.0,3194838213.5
135,100.0,2.0,2.0,59.0,20.9865188598633,105.78639984130899,0.0,2450000000.0,2505641117.5
136,72.8,2.0,2.0,1.0,20.9947719573975,105.80612945556601,1.0,2699000000.0,2325913693.5
137,118.0,3.0,2.0,12.0,21.0119361877441,105.77499389648399,1.0,3200000000.0,3490342757.5
138,93.0,3.0,2.0,83.0,21.0315856933594,105.768203735352,1.0,2350000000.0,3168083501.5
139,64.0,2.0,2.0,3.0,20.996324539184602,105.802665710449,0.0,1600000000.0,2045910601.5
140,84.0,2.0,2.0,67.0,21.0639667510986,105.805503845215,1.0,3600000000.0,3430029261.5
141,75.0,2.0,2.0,1.0,21.047119140625,105.78136444091801,1.0,2300000000.0,2548080841.5
142,85.0,3.0,2.0,33.0,20.9906997680664,105.814277648926,1.0,2900000000.0,2532162085.5
