Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất,Chủ đầu tư,Vĩ độ,Kinh độ
3000000000.0,93.2,3,2,3,4,0,19,21.0020389556885,105.80166625976601
2850000000.0,72.0,1,1,6,7,1,19,21.0101585388184,105.83633422851601
5600000000.0,174.0,3,2,7,6,1,4,21.005578994751,105.803749084473
2850000000.0,75.0,2,2,5,5,1,60,21.0457458496094,105.86637878417999
11500000000.0,167.0,4,3,4,3,1,1399,21.0229530334473,105.809814453125
3800000000.0,154.3,3,3,4,8,1,106,20.9865188598633,105.78639984130899
1750000000.0,70.0,2,1,6,7,1,4,21.0009841918945,105.801475524902
10000000000.0,105.0,3,2,6,7,0,358,21.064899444580103,105.827049255371
2250000000.0,53.0,1,1,6,7,1,1399,21.0190830230713,105.78173065185499
3500000000.0,96.0,3,3,6,8,1,113,21.0160980224609,105.79248809814501
3300000000.0,114.0,3,2,5,8,1,220,21.0403366088867,105.76758575439501
10600000000.0,159.0,4,4,6,7,0,358,21.069709777832,105.811210632324
7000000000.0,154.0,4,3,6,7,1,1399,21.002666473388697,105.8154296875
3100000000.0,79.0,2,2,7,6,1,358,21.0058059692383,105.79437255859399
2450000000.0,69.0,2,2,8,5,1,113,21.0160980224609,105.79248809814501
2900000000.0,93.0,3,2,8,5,0,98,20.965379714965803,105.850639343262
1850000000.0,61.5,2,2,8,5,0,1,21.0292072296143,105.764450073242
2888000000.0,72.0,2,2,7,6,1,358,21.0058059692383,105.79437255859399
2880000000.0,70.0,2,2,7,6,1,1399,20.998958587646502,105.788032531738
3000000000.0,93.0,3,2,7,6,0,98,20.965379714965803,105.850639343262
2400000000.0,67.96,2,2,7,6,0,1,20.9739685058594,105.82169342041
3300000000.0,116.0,3,2,7,6,0,98,20.9842433929443,105.808448791504
1100000000.0,76.0,2,2,7,6,1,19,20.9397029876709,105.787254333496
4500000000.0,110.0,3,2,7,6,0,358,21.0058059692383,105.79437255859399
2400000000.0,87.0,2,2,7,6,0,149,21.0443172454834,105.877861022949
1250000000.0,75.0,2,2,7,6,1,214,21.0083923339844,105.73024749755899
13000000000.0,190.0,3,2,2,6,1,2,21.0249118804932,105.843368530273
2000000000.0,134.0,4,3,6,5,1,1,20.932672500610398,105.85007476806601
2700000000.0,70.0,2,2,8,5,0,1399,20.998958587646502,105.788032531738
1450000000.0,38.0,2,2,6,7,0,358,21.0058059692383,105.79437255859399
2500000000.0,90.88,3,2,6,7,0,77,20.985540390014602,105.79894256591801
